# E_pvp01_a
Command	Arg1	Arg2	Arg3	Arg4	Arg5	Arg6	WaitType	Text	PageCtrl	Voice	WindowType
Param	quest_name="祭りのあと"
ShowMessageWindow
Bg	市街地A_過去
Bgm	キノコリオン
	キノコリオン		1_2c
	タケノコリオン		2_2c
	※※※※	通常	a					およそ1年に1度――
	※※※※							キノコリオンとタケノコリオンには\n大繁殖期と呼ばれる時期がある
	※※※※							この時期になると、両リオン生命は\n人里にまで現れ求愛行動にも似た\n不思議な活動を見せる
	※※※※							我々には飛び跳ねているようにしか\n見えない無害なその行為は、
	※※※※							一節には、人々が神を祀る【お祭り】を\n彼らが真似したものであるというものや
	※※※※							逆に、彼らのそういった行為こそが\n人間の【お祭り】の基盤となっている\nと唱える学者もいる
	※※※※							――― 今となっては、\n街に住む人々からの苦情も含めて、\nもはや魔界の風物詩である
	※※※※							だが、未だに彼らリオン生命体が、\nなぜ敵対しあうのか、敵対するのに\n同じ場所に集まろうとするのか、など
	※※※※							彼らが持つ不思議な秘密は\nほとんど明かされていない
	※※※※							　\n《リオン生命体研究記 第1322巻》
CharacterOff
Bg	市街地A
StopBgm
	　　　　　　　　　　	通常	a					キノコとタケノコが街中を覆い尽くし、\n魔剣使いまでもがキノコ、タケノコに\nまみれた不思議な期間は
	　　　　　　　　　							彼らの繁殖期の終焉とともに静かに\n終わりを告げた。
	　　　　　　　　　							キノコリオンとタケノコリオンは、\nお互いを振り返ることもなく
	　　　　　　　　　							しかし、お互いに背中を預けるように、\n各々の住処へと帰っていった。
	　　　　　　　　　							この騒動の中で名を上げたもの\nさらなる野心に燃えるもの\nキノコとタケノコに恋するもの
	　　　　　　　　　							たくさんの思いが交錯した\n歴史に残る闘いとなった。
								そして、ここにも1人―――
	ディーア	怪しい	2_2
	リディ	通常R	1_2
Bgm	平和
	ディーア							…………
	リディ							どうしたのマスター？
	ディーア							………………
	リディ							…んう？\nおなか痛いの？
	ディーア							………………\n………………
	リディ							キノコ×タケノコか\nタケノコ×キノコかで\n悩んでるの？
	ディーア	驚き						ぶふぅっ!!
Tween	リディ	PunchPosition	y=50			Add
	リディ	驚きR						！！
	ディーア	怪しい						どこでそんなの覚えたの
	リディ	笑いR						胴田貫ちゃんがゆってた！
	ディーア							あいつ…
	リディ	通常R						キノコとタケノコをまぜたら\nどうなるの？
	ディーア							どうにもならないよ
	リディ							ふーん
	リディ							それで、マスターは何を悩んでるの？
	ディーア	通常						いや、うん
Tween	リディ	MoveBy	y=-10			Add
	リディ							……またロルリアンレットさんのこと\n考えてたの？
	ディーア	驚き						うっ！
	ディーア	照れ						するどいな、さすがは女の子
Tween	リディ	MoveBy	y=10			Add
	リディ	怒りR						…ふーん、ふーん、\nああゆうフリフリの着てる子に\nピシピシされるのが好きなんだ－
Tween	リディ	PunchPosition	y=50			Add
	リディ	笑いR						マスターはブタさんだもんねー\nピシピシされるの好きなんだもんねー
	ディーア	怪しい						ど、どこでそんなことを、\n聞いてきたのかな－リディちゃーん…
	リディ							龍の髭ちゃんがゆってた
	リディ	通常R						あと、アスカロンちゃんとか
	ディーア							あいつら…
	ディーア	通常						リディもすぐに魔剣たちの言うことを\n真に受けないの
	リディ	怒りR						むーーーーー
	ディーア							で、ロールお嬢様のことだけどさ
Tween	リディ	PunchPosition	y=50			Add
	リディ	驚きR						！！
	ディーア	怪しい						今回の【キノコタケノコ大戦争】を\n思いつくにしては、随分と手際が\n良かったなって、思ってさ
Tween	リディ	PunchPosition	y=50			Add
	リディ							？？？
	ディーア	通常						むしろ、良すぎるな、って
	ディーア							キノコリオンとタケノコリオンの\n大繁殖期が来ることがわかっていても、
	ディーア							あれだけ手際よく魔界統一戦の運営に\n入り込めるものなのか、気になってさ
	リディ	通常R						あらかじめ準備してたってこと？
	ディーア							んー、その可能性があるのかなーって
	リディ	笑いR						考えすぎだと思うよー
	リディ							だってキノコリオンもタケノコリオンも\n毎年どの街で繁殖祭りするのか\n起きてみないとわかんないんだって
	ディーア	驚き						そうなのか
	ディーア	怪しい						謎が多すぎるな、リオン生命体
Tween	リディ	PunchPosition	y=50			Add
	リディ	通常R						考えても仕方ないことは考えない！\nもっと楽しいことを考えよーっ！
	ディーア	笑い						はいはい、そうだな\nじゃ、打ち上げパーティ行くか
Tween	リディ	PunchPosition	y=50			Add
	リディ	笑いR						いくーーーーー！
	ディーア	通常						場所は旅酒場「魔王と竜王」地下1Fか
Tween	リディ	PunchPosition	y=50			Add
	リディ	照れ						いつものとこだねー
	ディーア	怪しい						あそこ何気に広いからなー
Tween	リディ	PunchPosition	y=50			Add
	リディ	笑い						みんないるかなー？
	ディーア	笑い						いるといいなー
Tween	リディ	MoveTo	x=-800 time=5			Add
Tween	ディーア	MoveTo	x=-800 time=5			Add
	リディ							いいなー♪
	wipe		wipe_start			0
Tween	wipe	MoveTo	x=-800 islocal=true time=1.2	linear
FadeOut	black					.1
CharacterOff
CharacterOff	wipe
Bg	研究所A
Bgm	図書館
	司書王ロルリアンレット	通常G	1_2
	ププッピマリー	佇む	2_2
