# E2028_b
Command	Arg1	Arg2	Arg3	Arg4	Arg5	Arg6	WaitType	Text	PageCtrl	Voice	WindowType
Param	quest_name="ロイヤルつながり…？"
ShowMessageWindow
Bg	酒場1F
Bgm	凱旋
	ディーア	通常	3_3
	リディ	驚きR	1_3
	ロイヤルクラウン	通常	2_3
	リディ	驚きR	1_3					タケノコリオンなんていたんだねー\n世界はひろいねー
	ロイヤルクラウン		2_3					キノコだけでも迷惑なのに\nさらにタケノコとか…
	ロイヤルクラウン							うえぇぇ…ロイ子、まじむり…
	リディ	通常R						えーかわいいのに…
	ディーア	怪しい	3_3					ボスの名前はロイヤルタケノコリオン\nだったっけな？
	ディーア	嬉しい						もしかしたら、\nロイ子の仲間だったりしてなー♪
	ロイヤルクラウン							ちょ、やめてよ…\nなんで私があんなキモいのと一緒なの
	ロイヤルクラウン							ほんとやだ、まじやだ、絶対やだ！\n一緒にしないで！ばか！ばか！ばか！
	リディ	驚きR						わわわ、ロイ子が早口になった
	ロイヤルクラウン							だって、だって、なんか浮いてるし\n三角形だし…
	ロイヤルクラウン							タケノコよりキノコの方がまだまし
	リディ	笑いR						じゃあ、マスターが\nタケノコリオンソウルを装備したら？
	ロイヤルクラウン							もう二度と口をきかない
	ロイヤルクラウン							触らせないし、頭もなでなでさせない\n添い寝もさせてあげない
	リディ	驚きR						!!!!!!!!!!!!
	リディ	怒りR						マスター…？私のいないところで\nロイ子ちゃんに何してるのかなー
	ディーア	驚き						そ、そんなことしてない！\nちょ、ロイ子！てきとーな事を…
	ロイヤルクラウン							んべーー！だ
	ロイヤルクラウン							ロイ子とタケノコを一緒にする人は\nキノコタケノコ戦争に巻き込まれて\n炎上しちゃえー！ぷい！
Tween	ロイヤルクラウン	MoveTo	x=600 time=2			Add
Se	走る
CharacterOff	ロイヤルクラウン
	ディーア							あー！！ロイ子ー！\nせめて弁明をーー!!
	リディ							弁明？なんのかなー笑
	ディーア	笑い						あ、あれ、リディさん、顔が、\n笑ってません、よ…
	リディ							そーお？いつもどーりだよー笑
	ディーア	笑い						あ、あはは…
	リディ							それじゃあちょっと、\n事情聴取、してもいいかなー笑
	ディーア	通常						うわああああ！
Se	走る
Tween	ディーア	MoveTo	x=600 time=2			Add
	ディーア							ちがうんだーーーーーー!!
Se	走る
Tween	リディ	MoveTo	x=600 time=2			Add
	リディ							まてー!!
CharacterOff	ディーア
CharacterOff	リディ
	ロイヤルクラウン	通常	2_3					マスターのばか。
	ロイヤルクラウン							ふん！
EndScenario
