# Q2005_01
Command	Arg1	Arg2	Arg3	Arg4	Arg5	Arg6	WaitType	Text	PageCtrl	Voice	WindowType
Param	quest_name="クエスト名"
ShowMessageWindow
FadeOut	black					0
StopSound
Bg	黒背景					0
Param	character_grayout=false
	地名背景		地名背景			0
	地名ロゴ	エトロサーバ	地名ロゴ			0						ここは変える
	左縦線		左縦線			0
	左横線		左横線			0
	右縦線		右縦線			0
	右横線		右横線			0
FadeIn	black					1
Wait						2
Tween	左縦線	MoveBy	y=-800 time=1.5	easeOutQuart			NoWait
Tween	左横線	MoveBy	x=-800 time=1.5	easeOutQuart			NoWait
Tween	右縦線	MoveBy	y=800 time=1.5	easeOutQuart			NoWait
Tween	右横線	MoveBy	x=800 time=1.5	easeOutQuart			NoWait
Wait						1.3
	場所ロゴ	氷城エイビシュタット	場所ロゴ			1						ここは変える
Wait						1
	　　　　　　　　　　							　
Tween	左縦線	MoveBy	y=-100 time=6				NoWait
Tween	左横線	MoveBy	x=-100 time=6				NoWait
Tween	右縦線	MoveBy	y=100 time=6				NoWait
Tween	右横線	MoveBy	x=100 time=6				NoWait
CharacterOff	地名ロゴ					.5
CharacterOff	場所ロゴ					.5
CharacterOff	左縦線					.3
CharacterOff	左横線					.3
CharacterOff	右縦線					.3
CharacterOff	右横線					.3
Wait						1.5
CharacterOff	地名背景					1
Wait						1.5
FadeOut	white					1
CharacterOff						0
Bg	凍りついた神殿城					0
	ディーア	通常4	p3			0
	ロサ	通常	p7b			0
Param	character_grayout=true
FadeIn	white					1
Bgm	作戦会議
	ロサ	通常						<dash=4>以上が\nご主人様の近況です、お嬢様
CharacterOff
	ププッピマリー	微笑む	p7b
	司書王ロルリアンレット	通常H
	司書王ロルリアンレット	通常H						エイビシュタット近郊の安定化に\nメルトナとの共闘も確認
	司書王ロルリアンレット	通常H						これでようやく、\n対世界意思への地盤が整ったわね
	ププッピマリー	微笑む						見事な手腕です、魔剣王様
CharacterOff
	ロサ	通常	p7b
	ディーア	汗4	p3
	ディーア	汗4						ロサや魔剣のみんなのおかげです
	ディーア	怪しい4						それに、\nアリス様が不在になった影響で\n暴れ出した魔物は鎮圧できましたけど
	ディーア	怪しい4						今度は<dash=2>
Se	回想
FadeOut	white					.3
ImageEffect	SpriteCamera	Sepia
CharacterOff						0
	野良魔剣使い	通常				0
FadeIn	white					.3
Tween	野良魔剣使い	PunchPosition	y=30				NoWait
	野良魔剣使い	通常						魔剣王さま鬼つええ！\nこのまま邪魔するヤツら全員\nぶっ倒していこうぜ！
CharacterOff
	勇者A	通常	p3
	勇者B	通常	p7b
	勇者A	通常						オレたちも！\nE.D.E.N.を抜けてきたんですよ！
	勇者B	通常						魔王候補全員の前で演説とか\nあんたロック過ぎる！
CharacterOff
	研究員	通常						魔界の終焉を望む王よ……
	研究員	通常						ふふふふ♪\n貴方の元でなら禁忌の封印を解き、\n魔界を混沌のるつぼへ……
FadeOut	white					.3
ImageEffectOff	SpriteCamera	Sepia
CharacterOff						0
	ロサ	照れ	p7b			0
	ディーア	絶望4	p3			0
FadeIn	white					.3
	ディーア	絶望4						オレのことで\nあることないこと噂が広まって
	ディーア	絶望4						勝手なことをいう人たちが\n仲間に入りたいって押し寄せてきたり
	ロサ	照れ						居場所がはっきりしたことで\nご主人様を狙う刺客や賞金稼ぎも\n次から次へと……
	ディーア	絶望4						戦火を逃れた避難民を保護したり\n忙しくて忙しくて……
CharacterOff
	ププッピマリー	通常	p7b
	司書王ロルリアンレット	通常H
	司書王ロルリアンレット	通常H						それが一城の主になった証よ
	司書王ロルリアンレット	通常H						あなたはもう、\n放浪の王ではなくアリスの後継者
	司書王ロルリアンレット	通常H						魔剣王の一挙手一投足に、\n魔界の民は尊敬と畏怖を抱くわ
	司書王ロルリアンレット	ドヤ顔H						そのプレッシャーに\n押しつぶされないよう用心しなさい♪
	ププッピマリー	通常						民からすると、\n魔王に最も近いと噂される王の下に\n身を寄せたいと考えるのは自然
	ププッピマリー	通常						このようなことは続くでしょうし\n派遣人員を増やしますか？
CharacterOff
	ロサ	通常	p7b
	ディーア	汗4	p3
Tween	ディーア	PunchPosition	y=30				NoWait
	ディーア	汗4						そ、それは大丈夫です！
	ディーア	通常4						信頼できるロサが支えてくれますし\n魔剣たちも手伝ってくれてます
	ディーア	通常4						アリス様に託された以上、\n魔剣王として務めを果たしますよ
CharacterOff
	ププッピマリー	通常	p7b
	司書王ロルリアンレット	悪い顔H						それに言ってしまったものね？\n魔王になるって♪
	司書王ロルリアンレット	通常H						あなたの言葉に触発されて、\nきっと遠からずに各国も動き出すわ
	司書王ロルリアンレット	通常H						実際にエデンとエキドナは\nA.R.G.O.隊の勢力と権限を拡大させ\n介入の機会を狙っている
	司書王ロルリアンレット	通常H						めったなことで倒される\nあなたでは無いと思うけれど\n万全にしておきなさい
CharacterOff
	ロサ	通常	p7b
	ディーア	怒り4	p3
	ディーア	怒り4						はい……！
FadeOut	black					1
StopBgm
CharacterOff						0
Bg	凍りついた神殿城					0
	ロサ	通常	p7b			0
	ディーア	通常4	p3			0
Wait						1
FadeIn	black					1
Bgm	図書館
	ディーア	通常4						今回の会議も\n無事に終わってよかったな
	ロサ	通常						ですが……\n本当によかったのでしょうか？
	ロサ	通常						ご主人様の悪魔の鍵の不調を\nお嬢様やマリー様にお伝えしたら\n解決策が見つかるかも……
	ディーア	目閉じ4						…………いやダメだ
	ディーア	怒り4						お嬢様やマリーさんだって\n無条件で味方なわけじゃない
	ディーア	目閉じ4						それにE.D.E.N.は\n世界図書館がオレと繋がってると\nずっと疑っているようだし
