# E_120_01
Command	Arg1	Arg2	Arg3	Arg4	Arg5	Arg6	WaitType	Text	PageCtrl	Voice	WindowType
Param	quest_name="恋で世界を救う方法"
Param	quest_name="　リディとクランの悪堕ち感謝祭"
JumpSubroutine	*アリスイベントタイトル
Bgm	海底
Bg	イベントスチル12001
	アリス	<Off>						――というわけだ愚民、\nお互いにWIN-WINだろう？
	ディーア	<Off>						え、いや、その…
	アリス	<Off>						何を躊躇う必要がある？\n説明したとおりだ
	ディーア	<Off>						そうはいっても、ええと…
	アリス	<Off>						ほぉ…この魔帝アリス直々の\n手助けが不要というか？
	ディーア	<Off>						いえ！そういうことではなくって
	アリス	<Off>						くはは！焦るな焦るな\n大丈夫だ安心しろ
	アリス	<Off>						コレはいわゆる魔剣に属するタイプの\n魔典ではない
	アリス	<Off>						ただの【レシピ本】だ\nそれも普通のお菓子のな
	アリス	<Off>						お前の魔力を全て吸い尽くす\nなんてこともないただの紙の束だ
	ディーア	<Off>						それは、わかってるんですが
	アリス	<Off>						困っているんだろう？
	ディーア	<Off>						……はい
	アリス	<Off>						なら迷うことはないなぁ、魔剣使い\nお前と此処で偶然出会ったのは\n運命のようなものだ
	アリス	<Off>						ホワイトデーのお返しに困っている\n男が1人ここにいて、
	アリス	<Off>						特製お菓子の作り方が載った本を\n持った女が1人ここにいる
	アリス	<Off>						ただただそれだけのことだ、違うか？
	ディーア	<Off>						違い…ません…
	アリス	<Off>						くははは！ならどうする？\n貴様なら、この本をどうする？
	ディーア	<Off>						………
	アリス	<Off>						特別なものをお返ししたいのだろう？\n感謝と愛を伝えたいのだろう？
	ディーア	<Off>						…!!
	ディーア	<Off>						その本を、借ります……！
	アリス	<Off>						それでいい
	アリス	<Off>						ああ、その本は返さなくていい\n『偶然』『世界図書館で』『拾った』\nものだからな
	ディーア	<Off>						それは、拾ったのではなく、奪――
	アリス	<Off>						ん？
	ディーア	<Off>						いえ！なんでもないです！\n…でも、なんで俺なんかに……
	アリス	<Off>						さっきも言っただろう？\n『運命のようなもの』だと
	ディーア	<Off>						……はぁ
	アリス	<Off>						おっと、お茶会の時間だ\nいずれまた会うかもなぁ、魔剣使い！
	アリス	<Off>						面白いホワイトデーを期待しているぞ
	wipe		wipe_start			0
Tween	wipe	MoveTo	x=-800 islocal=true time=1.2	linear
FadeOut	black					.1
Bgm	武器修理
Bg	酒場1F
CharacterOff	wipe
Param	character_grayout=true
	ディーア	汗2
FadeIn	black					.5
	ディーア	汗2	1_1					………と、いうわけで借りてきた本の\nレシピ通りにお菓子を作ってみたものの
Tween	ディーア	PunchPosition	y=50			Add
	ディーア	怪しい2						本当にこれでいいのか…？\nどうにもお菓子作りなんて…んー…
FadeOut	white					.2
