# E_1241_01
Command	Arg1	Arg2	Arg3	Arg4	Arg5	Arg6	WaitType	Text	PageCtrl	Voice	WindowType
Param	quest_name="クエスト名"
ShowMessageWindow
FadeOut	white					0
StopSound
Bgm	図書館
Bg	黒背景					0
Param	character_grayout=false
	ジャガーノート=ルナ	通常				0
FadeIn	white					1
	ジャガーノート=ルナ	通常						問題です、愛ってなーんだ？
	ジャガーノート=ルナ	通常						ステキな心の触れ合い？\nためらわないこと？\n子孫を残すための生命体の仕組み？
	ジャガーノート=ルナ	通常						正解は……しりませーん♪
	ジャガーノート=ルナ	通常						だってルナは狂っていますし\n答えなんてルールを決めた神様しか、\nわかりませんよー♪
	ジャガーノート=ルナ	通常						でも私は思うんですよー、\n愛はとーっても狂っているってー
	ジャガーノート=ルナ	通常						マスターさんもそう思いませんか？
	ジャガーノート=ルナ	通常						だって人は<ruby=狂気>月</ruby>を見上げながら
	ジャガーノート=ルナ	通常						『<ruby=アイラブユー>月が綺麗ですね</ruby>』\nなんて言っちゃうんですからー♪
	ジャガーノート=ルナ	通常						うふふー♪
FadeOut	white					1
StopBgm
CharacterOff						0
Bg	凍りついた神殿城					0
	マビノギオン	通常	p3b			0
	キャバリア	通常	p5			0
	サフラン色の死	通常	p7b			0
	          	<Off>	1_2
Wait						2
FadeIn	white					1
Bgm	平和
	魔剣たち	<Off>	1_2					そわそわ……♪
Param	character_grayout=true
CharacterOff
	レヴァ	通常	p7b
	ディーア	怪しい4	p3
	ディーア	怪しい4						なんだか最近、\nみんながそわそわしてる気がするな
	ディーア	怪しい4						レヴァ、\nみんなには不安なことがあるのか？
	レヴァ	慌て						マイマスター、\nそれって本気で言ってる？
	ディーア	驚き4						え……？
Tween	レヴァ	PunchPosition	y=30				NoWait
	レヴァ	慌て						えっ！\nもしかして本当に忘れてるの!?
	ディーア	汗4						ご、ごめん……\n最近は任務とかすごく忙しくて
	レヴァ	慌て						そっか……\n確かに魔剣王になってから、\nものすごく忙しそうにしてたもんね
	レヴァ	通常						最近は外も中も氷漬けなお城の中で\n季節感なくなるのもわかる
	レヴァ	通常						でも季節のイベントは、\nちゃんと覚えておかないとダメだよ？\nマスターも楽しみにしてたし！
	ディーア	悔しい4						この季節の、イベント……
Tween	ディーア	PunchPosition	y=30				NoWait
	ディーア	驚き4						あっ！\nもうすぐバレンタインかっ！
	レヴァ	笑い						そうそう！ せーかい♪
	ディーア	驚き4						もうそんな時期か、\nすっかり忘れちゃっていたな……
	ディーア	汗4						みんながソワソワしてるのも\nそういうことか……
Tween	ディーア	PunchPosition	y=30				NoWait
	ディーア	驚き4						あ、まずい……！\nオレはなんにも準備をしていない
	レヴァ	笑い						大丈夫だよ！\nバレンタインデーは\n女の子の大事な勝負の日だけど
	レヴァ	通常						マイマスターの出番は、\n三倍お返しなホワイトデーだから、\nそれまでに準備よろしくね♪
	ディーア	汗4						そ、そうだな！
	ディーア	通常4						そういうレヴァも、\nバレンタインのチョコをくれるのか？
	レヴァ	通常						もちろん♪
	レヴァ	通常						マイマスターのヒロインとして\nハートを燃やしてあげるからっ♪\n待っててね♪
	レヴァ	通常						それじゃあ私も、\nチョコレートつくりに行くね♪
Se	走る
Tween	レヴァ	MoveBy	x=600 time=1				NoWait
Wait						1
Tween	ディーア	MoveBy	x=150				NoWait
	ディーア	通常4						……そうか
	ディーア	通常4						みんな、オレのために\nチョコの準備をしてくれてるんだな
CharacterOff
	アーベントロート	通常2						魔剣王さんは好かれてますね
	アーベントロート	通常2						それにバレンタインも面白い風習♪
CharacterOff
	ディーア	通常4						アーベントロートは、\nバレンタインは経験がないのか？
CharacterOff
	アーベントロート	通常2						もちろん知識としての\nバレンタインという古代の風習は\n知っていますよ
	アーベントロート	通常2						でも《<ruby=マスターキー>全知全能</ruby>》たちに\nそんな行事は皆無でしたからね
	アーベントロート	通常2						それに魔剣たちが\nこんなたくさんいる場所に留まるのも\n私にとっては初めての経験
	アーベントロート	笑い2						だからとーっても興味深いです♪
	アーベントロート	笑い2						特に！\nアーダがチョコをつくるのかどうか♪
Tween	アーベントロート	PunchPosition	y=30				NoWait
	アーベントロート	笑い2						どんなチョコをつくって、\nどんな顔であなたに渡すんでしょう♪\n想像するだけで楽しみです♪
	アーベントロート	通常2						でも魔剣王さんも大変ですね、\nみんなの愛のこもったチョコを貰って\nぜんぶ食べなきゃいけないなんて
CharacterOff
	ディーア	笑い4						みんなが大切に作ってくれたものだし\nマスターとしては嬉しいよ
	ディーア	笑い4						おいしいチョコは大好きだしな！
CharacterOff
	ロサ	照れ						そんなことを言って、\n虫歯にならないように注意して下さい
	ロサ	照れ						放置すると命に関わることもある\nたいへんな病気なんですから
	ロサ	通常						魔剣王の敗因が歯が痛かったなんて\n歴史に残っちゃいますよ？
CharacterOff
	ディーア	汗4						たしかに、それは嫌だな
	ディーア	通常4						魔剣王の名に恥じないように、\nちゃんとするよ
CharacterOff
	ロサ	ニヤリ						ええ、お願いいたします
	ロサ	通常						それからアーベントロート様、\nご所望だった素材が届きましたよ
CharacterOff
	アーベントロート	通常2						ありがとうございます♪\n私も友チョコをつくってみたくて♪
CharacterOff
	ロサ	通常						礼には及びません、\nチョコの買い出しは必要でしたので
CharacterOff
	ディーア	にやけ4						それってもしかして、\nオレにもチョコをくれるのか？
CharacterOff
	ロサ	慌て
Tween	ロサ	PunchPosition	y=30				NoWait
	ロサ	慌て						なっ!?\nなんでその発想になるんですかっ！
	ロサ	慌て						いつも通り、\nお嬢様とマリー様に贈るだけです！
CharacterOff
	ディーア	絶望4						うぅ……\nオレにはなんにもないのか……
CharacterOff
	ロサ	慌て						そ、そんなに\n残念そうな顔をするのは\nおやめくださいっ！
	ロサ	通常						それに……
	ロサ	通常						魔剣の皆様から\nあんなたくさんチョコを貰えるのに\n私からも欲しいんですか？
CharacterOff
	ディーア	笑い4						もちろん！
CharacterOff
	ロサ	照れ						うっ…………
	ロサ	通常						そ、そこまで\n熱望されては仕方ありませんね
	ロサ	ニヤリ						ご主人様にも、\n義理で良ければ用意いたします
CharacterOff
	ディーア	笑い4						やった！\nすごく楽しみにしてる！
CharacterOff
	ロサ	嬉しい						もう……♪
	ロサ	通常						ではアーベントロート様、\nキッチンまでご案内いたしますね
CharacterOff
