# Q1010_01
Command	Arg1	Arg2	Arg3	Arg4	Arg5	Arg6	WaitType	Text	PageCtrl	Voice	WindowType
Param	quest_name="クエスト名"
ShowMessageWindow
FadeOut	black					0
StopSound
Se	強風	TRUE
Bg	遺跡B
	黒背景		エフェクト表2			0
Param	character_grayout=false
	聖巫女ルカ	黒				0
	鎖エフェクト前		エフェクト表			0
	鎖エフェクト後ろ		エフェクト裏			0
FadeIn	black					.5
CharacterOff	黒背景					2
	聖巫女ルカ	黒						…………ぁっ……
Shake	聖巫女ルカ		x=5				NoWait
Se	コインロック
	聖巫女ルカ	黒						……くっ……ぅぁ……っ……！
CharacterOff
Wait						.5
StopSe
Se	歩く
	ブラム					2
Wait						2
	ブラム							……ふぅーー
StopSe
Bgm	絶望
	ブラム							魔獣との交配に、魂の移植……\n魔術の禁忌を、\nこれほど容易く実現させるとは
	ブラム							やはり限りなく人に近い\n人ならざるモノ<dash=2>
	ブラム							そして聖征剣の器たる勇者王の血継、\nミリアの<ruby=うつしみ>写身</ruby>の為せる業か
	ブラム							シドウの夢見た希望の匣<dash=2>\nああ、なんと度し難い
	魔剣マージニア							……今宵はいつもより饒舌ですね\nブラム様
	ブラム							ああ……\n見るがいい、マージニア
	ブラム							これこそが可能性だ
	ブラム							シドウも、アークも\n持ち合わせなかった可能性を、\n"彼"は確かに持っている
CharacterOff
	鎖エフェクト前		エフェクト表
	鎖エフェクト後ろ		エフェクト裏
	聖巫女ルカ	黒
Se	コインロック
Shake	聖巫女ルカ		x=5				NoWait
	聖巫女ルカ							…………
CharacterOff
	ブラム							間違いない\n"彼"こそが、王にふさわしい
	魔剣マージニア							良いのですか\n魔界に、この時代に\n生を受けた者として
	魔剣マージニア							ブラム様、貴方は<dash=2>
	ブラム							ああ、憎らしいとも、羨ましいとも\nどうしようもなく妬ましく、\nあるいは愛しいとも
	ブラム							だが"彼"は本物だ\nそれに忠誠を誓った以上<dash=2>\n裏切るわけにはいかないだろう
CharacterOff
	鎖エフェクト前		エフェクト表
	鎖エフェクト後ろ		エフェクト裏
	聖巫女ルカ	黒
	聖巫女ルカ							……っ、……ちがう
	聖巫女ルカ							……お兄ちゃんじゃ、ないですわ
CharacterOff
	ブラム							…………なに？
CharacterOff
	鎖エフェクト前		エフェクト表
	鎖エフェクト後ろ		エフェクト裏
	聖巫女ルカ
Se	コインロック
Shake	聖巫女ルカ		x=5				NoWait
	聖巫女ルカ							あなたでしょう\nこの魔物を作ったのは\n……それも、あなた自身の身体で
CharacterOff
	ブラム							……マージニア
	魔剣マージニア							いえ、これ以上の負荷は、\n彼女の身体が耐えきれません
	ブラム							……チッ\n精神は存外にしぶといようだがな
	ブラム							おぞましい魔物に凌辱されてなお、\nそのように気丈に振る舞う\n余裕があるとは
CharacterOff
	鎖エフェクト前		エフェクト表
	鎖エフェクト後ろ		エフェクト裏
	聖巫女ルカ							信じていますもの\n私は、お兄ちゃんを
CharacterOff
	ブラム							……ルルはお前のことなど見ていない
CharacterOff
	鎖エフェクト前		エフェクト表
	鎖エフェクト後ろ		エフェクト裏
	聖巫女ルカ							そう思うのは、あなたこそが\nお兄ちゃんの視野に入っていない……\nその自覚があるからではなくて？
CharacterOff
	ブラム							マージニア
	魔剣マージニア							……はっ
	オーラ青		エフェクト表			1.5
Se	フォーン
Wait						2
CharacterOff
	鎖エフェクト前		エフェクト表
	鎖エフェクト後ろ		エフェクト裏
	聖巫女ルカ
Se	闇1
Se	コインロック
Shake	聖巫女ルカ		x=10				NoWait
	聖巫女ルカ							ぅぁっ……くぅっ……！
	聖巫女ルカ							……あなたが、
