# E_111_01
Command	Arg1	Arg2	Arg3	Arg4	Arg5	Arg6	WaitType	Text	PageCtrl	Voice	WindowType
Param	quest_name="第1話 蒼い霧"
ShowMessageWindow
Bgm	魔王バトル
Bg	青いスイーツ図書館
	ディーア	悔しい2	3_4
	リディ	絶望2	dd
	魔法災害イオ写本	通常	a2 2
	スモーク	通常	エフェクト表
	ディーア							くっ…コイツ…！
	リディ							うそでしょ…マスター…これ…
	魔法災害イオ写本							<color=mk2wisp>…ゴゴゴ…</color>
	ディーア	怒り2						これがロールお嬢様の言っていた\n《由々しき事態》ってやつか
	ディーア	本気2						俺の後ろから離れるなよ！リディ！
	ディーア	本気2						お前を再び封印してやる…！イオ！
	暗幕		カバー
	※※※※	<Off>						今にして思い返せば、\nこれは事件の始まりにすぎなくて
	※※※※	<Off>						――否
	※※※※	<Off>						すでに始まっていたのであって、\nそれを止めることはできなくて――
	※※※※	<Off>						それでも、この青い蒼い霧の中で\nキミは俺を望むのだろうか
	※※※※	<Off>						――はじまりは、約1時間前
	wipe		wipe_start			0
Tween	wipe	MoveTo	x=-800 islocal=true time=1.2	linear
FadeOut	black					.1
CharacterOff	wipe
CharacterOff						0
BgOff						0
HideMessageWindow
FadeIn	black					0
StopBgm						1
JumpSubroutine	*イベントクエストタイトル3
Bgm	平和
Bg	市街地A2
	リディ	笑い2	1_2
	ディーア	絶望2	2_2
	リディ							きれいな空だねー♪\n空気もきれいでおいしい
	ディーア							ああ…そうだな…
	リディ	照れ2						まだちょっと寒いけど、\nリディはこのくらいの季節も好きっ
	ディーア							ああ…そうだな…
	リディ	驚き2						あ！みてみて！\nあのお店のお菓子、おいしそう♪
	ディーア							ああ…そうだな…
	リディ	絶望2						………………
	ディーア							ああ…そうだな…
	リディ	笑い2						あのお菓子、買ってきてもいいよね！\nマスターのおごりで♪
	ディーア							それは…だめだな…
	リディ	驚き2						ええっ！\nなんでそこは反応するの！
	ディーア	怪しい2						だめなものはだめ
	リディ	悔しい2						マスターのけちー
	ディーア	通常2						今日はお菓子を買いに\n来たんじゃないの
	リディ	通常2						おしごと、でしょ？
	ディーア	笑い2						そう！
	ディーア							こうやって俺が魔剣機関の仕事を\n着々とこなしているからこそ
	ディーア	本気2						毎日温かいお布団で寝たり、\n毎日温かいごはんが食べれたり…
	リディ	笑い2						全部魔剣機関からの支給だけどね♪
	ディーア	汗2						だからそれは俺が仕事を……
	リディ	通常2						昨日の晩御飯にお肉追加できたのは\n誰のおかげでしょーか？
	ディーア	あはは2						…うっ……り、リディさんの\nアルバイトの…おかげです…
	リディ	笑い2						せいかーい♪
	ディーア	怪しい2						あー、わかったよ！\n仕事終わったら買ってあげるから
	リディ	驚き2						ほんと？
	ディーア	笑い2						1個だけな
	リディ	笑い2						えへへー♪
	リディ	通常2						でも、マスターにはちゃーんと\n感謝してるんだよ？
	ディーア	嬉しい2						ん？
	リディ	照れ2						だって今日は――
FadeOut	white					.5
Se	光3
	オーラ青		エフェクト表
	暗幕		カバー
Bgm	キノコリオン
FadeIn	white					1
	ディーア	驚き2						うお！？
	リディ	驚き2						な、なにこれ！
	ディーア							…て、転送魔法陣！
Param	character_grayout=false
	ロルリアンレットの声	<Off>						<color=mk2wisp>《遅いわ、どれだけ待たせるのかしら》</color>
Param	character_grayout=true
	リディ							ロールお嬢様の声？
Param	character_grayout=false
	ロルリアンレットの声	<Off>						<color=mk2wisp>《いいから来なさい》</color>
Param	character_grayout=true
	ディーア							うわあぁぁ…！
	wipe		wipe_start			0
Tween	wipe	MoveTo	x=-800 islocal=true time=1.2	linear
FadeOut	black					.1
Bgm	図書館
Bg	研究所A
CharacterOff	wipe
CharacterOff
	ロルリアンレット	通常2	1_3
	ディーア	驚き2	2_3
	リディ	驚き2	3_3
FadeIn	black					.5
	ロルリアンレット	悪い顔2						ずいぶんと遅かったじゃない\n紅茶が冷めてしまったわ
	ディーア							ろ、ロールお嬢様…
	ロルリアンレット	ニヤリ2						おおかた賑やかな街の雰囲気に\nあてられて、恋人気分になって\nいた…というところかしら
	リディ	照れ2						こ！コイビトじゃないしっ…！
	ロルリアンレット	通常2						あら、この程度で照れるなんて\nおもったよりウブなのね、あなた
	リディ	怒り2						むぅ！
	ロルリアンレット							それよりも魔剣使い、\n今日はあなたを指名させてもらったわ
	リディ	驚き2						し、しめい！
	ディーア	怪しい2						まぁ、いつものことなんで、はい…\n今日はなんでしょうか
Bgm	コメディ
	リディ	悔しい2						ままま、まってマスター！
	ディーア	驚き2						リディ？
	リディ	驚き2						今日だよ、今日という日だよ！\nそんな日に、ご指名だよ！
	ディーア	にやけ2						ああ、だから仕事だろ？\n魔剣機関経由で世界図書館からの依頼…
	リディ	怒り2						むーーー！この鈍感ラノベ主人公！
	ディーア	怪しい2						ら、らのべ？
	リディ	笑い2						わざわざ今日お仕事で呼び出すなんて\n可能性はひとつしかないじゃん！
	ディーア	きらーん2						え、か、可能性？\nああ…緊急事態ってことか！
	ディーア	本気2						大丈夫だ、安心しろリディ、\n俺は緊急事態案件はお手の物さ！
	リディ	怒り2						そうじゃなくてっ！
Bgm	図書館
	ロルリアンレット	ニヤリ2						盛り上がっているところ悪いけれど\n魔剣使いの言うとおりよ
	リディ	驚き2						…ふぇ？
	ロルリアンレット	悪い顔2						緊急事態、いうなれば、\n《由々しき事態》ね
	wipe		wipe_start			0
Tween	wipe	MoveTo	x=-800 islocal=true time=1.2	linear
FadeOut	black					.1
Bgm	図書館
Bg	研究所A
CharacterOff	wipe
CharacterOff
	ロルリアンレット	通常2	1_3
	ディーア	怪しい2	2_3
	リディ	驚き2	3_3
FadeIn	black					.5
	ディーア							《蒼い霧》…ですか
	ロルリアンレット	通常2						現在は旧区画の禁書領域だけだけれど\nいずれ図書館全体…いえ、\n魔界全土を包むかかもしれないわ
	リディ							包まれるとどうなるの？
	ロルリアンレット							あなたにもわかるように説明すると、\n全くもって未知ね
	リディ	悔しい2						みち？
	ディーア	通常2						わかってない、ってことだ
	リディ	笑い2						ふぇ？特に何もおきないなら、\nちょっと青いくらい別によくない？
	ロルリアンレット	ニヤリ2						あなたは幸せそうでいいわね？\nこんな子が相棒でいいのかしら
	ディーア	怪しい2						まぁ、ええ…
	リディ	驚き2						えっ！なんで？\nリディ変なこと言った？
	ロルリアンレット							いいこと？\n『わかっていない』というのは、\n何より恐ろしいのよ
	ロルリアンレット	悪い顔2						予想ができれば対策ができる\n対策ができれば準備ができる\n準備ができれば未然に防げる
	リディ	絶望2						あ……
	ロルリアンレット	通常2						事が起きてからでは遅いわ
	ディーア	通常2						だから俺を呼んだってことですか
	ロルリアンレット							ええ、世間はみなソワソワしていて\n落ち着きがないでしょう？
	ロルリアンレット							こんな緊急で機密な案件を\n任せられるのは、あなたくらいよ
	ディーア	きらーん2						ロール様にそんなに\n信頼されているなんて…！
	ロルリアンレット							あら、勘違いしないでちょうだい
	ロルリアンレット							どうせ貰えないのでしょう？\nちょ・こ・れ・え・と♪
	ディーア	あはは2						……え？
	ロルリアンレット							何言っているの、今は\n魔導儀式バレンタインの期間でしょう？
	ディーア	絶望2						ああああ！
	ロルリアンレット	ニヤリ2						となりの女の子は自分が食べる専門\nみたいなようだし、報われないわね
	リディ	怒り2						そ、そんなことないもん！
