# Q2003_01
Command	Arg1	Arg2	Arg3	Arg4	Arg5	Arg6	WaitType	Text	PageCtrl	Voice	WindowType
Param	quest_name="クエスト名"
ShowMessageWindow
FadeOut	white					0
StopSound
Bgm	図書館
Bg	竜鍵マナ神域					0
ImageEffect	SpriteCamera	Sepia
	希望王ルル	通常2				0
Se	回想
FadeIn	white					1
	希望王ルル	通常2						魔界には、まだまだ\nルカが見たことのない\nたくさんの景色がある
	希望王ルル	怒り2						……頼むから\n生きている意味がないなんて\n言わないでくれ
	聖剣ルカ	<Off>	1_2					それがお兄ちゃんとの最後の会話
	聖剣ルカ	<Off>						今の私にとって、\nただ一つの魔界にいる理由……
FadeOut	black					.3
CharacterOff						0
Bg	研究所B					0
	裏ディーア	ハテナ				0
FadeIn	black					.3
	裏ディーア	ハテナ						お前の力が必要だ
	裏ディーア	ハテナ						オレがお前に理由を与えてやる\nついてこい
	聖剣ルカ	<Off>	1_2					それが黒い魔剣王様との最初の会話
	聖剣ルカ	<Off>						今の私にとって、\nただ一つの旅を続けている理由……
FadeOut	black					.3
ImageEffectOff	SpriteCamera	Sepia
CharacterOff						0
Bg	黒背景					0
	聖剣ルカ礼装	悲しい				0
Wait						1
FadeIn	black					.3
	聖剣ルカ礼装	悲しい						私が生きる意味……
	聖剣ルカ礼装	悲しい						聖剣を創るためだけに生み出されて、\n与えられて奪われて
	聖剣ルカ礼装	悲しい						本当は消えるはずだった命が、\nお兄ちゃんの犠牲で永らえている
	聖剣ルカ礼装	悲しい						そんな私が、\nこの魔界に居続ける理由……
	聖剣ルカ礼装	悲しい						あの日からずっと、\n言われたとおりに探し続けています
	聖剣ルカ礼装	悲しい						旅をして魔界の美しさを知れば\nお兄ちゃんが言ってくれた通りに\n意味を見つけられると信じて
StopBgm
	聖剣ルカ礼装	悲しい						でも<dash=4>
FadeOut	black					.3
Bg	荒野					0
Param	character_grayout=false
	全能殺しリディ	絶望				0
FadeIn	black					.5
Wait						.5
Se	ザシュ
FadeOut	red					.2
FadeIn	red					.2
Shake	全能殺しリディ		x=2
	全能殺しリディ	絶望						ます、たー……？
CharacterOff	全能殺しリディ					.5
Wait						.5
Param	character_grayout=true
CharacterOff
Bgm	絶望
CharacterOff
	聖剣ルカ	通常	p7b
	裏ディーア	ハテナ	p3
	裏ディーア	ハテナ						次に行くぞ
	聖剣ルカ	悲しい						…………
	裏ディーア	ハテナ						聖剣ルカ
	聖剣ルカ	悲しい						はい……
	裏ディーア	ハテナ						まだお前の役目は終わっていない\n何を呆けている
	聖剣ルカ	悲しい						役目……
	聖剣ルカ	悲しい						それをくれると言って\nあなたが私を連れ出してから、\nずいぶんと旅を続けました
	聖剣ルカ	悲しい						では"リディ様"を斬ることが、\n私の生きる意味なのですか……？
	裏ディーア	ハテナ						オレにはオレの計画がある\nそのためにお前が必要なだけだ
	裏ディーア	ハテナ						そして、\n立ち止まりたいのなら好きにしろ\nお前は決して唯一じゃない
	裏ディーア	ハテナ						だがその時、\nお前を守る者がいないことを忘れるな
	裏ディーア	ハテナ						またあの時のように、\n下賤な奴らに使い回されるのを\n良しとはしないのだろう？
Shake	聖剣ルカ		x=2				NoWait
	聖剣ルカ	悲しい						それ、は……
