# E_101
Command	Arg1	Arg2	Arg3	Arg4	Arg5	Arg6	WaitType	Text	PageCtrl	Voice	WindowType
Param	quest_name="もういくつ寝るとお正月ですが、\nとりあえず滅べ"
JumpSubroutine	*イベントクエストタイトル2
Bgm	図書館
Bg	神殿A
	ディーア	怪しい2	2_2
	リディ	照れ2	1_2
Se	ガヤB
Tween	リディ	PunchPosition	y=50			Add
	リディ							みてみてマスター！\nもうすぐマスターの番みたいだよ！
	ディーア	通常2						緊張するな…いくら\n「誰にもアンロックできない魔剣」\nとはいえ、仮にも神の国の名が
	ディーア							付けられた魔剣だからな…
	リディ	驚き2						《魔剣ヴァルハラ》…だっけ？
	ディーア	怪しい2						ああ、聞くところによれば\n魂を管理する力を持つっていう\nとんでもない魔剣らしい
	リディ	通常2						それじゃあ、ここに並んでる人たちは\nみんなその力が欲しくて並んでるの？
	ディーア							いや、本当にそんな力があるのか、\nそもそも本当に魔剣として機能するか\nすら怪しいんだ
	リディ	驚き2						ふぇ？それじゃあなんで\nわざわざ並んでまでアンロックに\n挑戦するの？
	ディーア	てへぺろ2						まぁ、あれだ、古来から伝わる風習、\nというか願掛けみたいなもんだな
	リディ	通常2						ガンカケ？
	ディーア	通常2						魂を管理する、ってことは、\nつまりは天国とか冥界とかあの世とか
	ディーア							そういうところにいる英雄たちと\n繋がっているってことだろ？
	リディ	笑い2						うん
	ディーア	照れ2						そんな魔剣ヴァルハラを通して、\n『オレも英雄みたいに強くなりたい』\nってお祈りをして……
	リディ	驚き2						ああ！天国の英雄さんに願いを\n届けてもらうんだね！
	ディーア	笑い2						そんな感じかな
	リディ	悔しい2						ねぇねぇ、じゃあさ、\n本当にアンロックできちゃったら\nどうなるの？
	ディーア	あはは2						んー、本当に英霊たちに願いが届いて\nオレは史上最強の魔剣使いに\nなっちゃうかもしれないな！
	リディ	照れ2						それは素敵かもしれない♪
	ディーア	怪しい2						でもまあ、仮にもそうならないように\n今は年に1度だけ年末年始の数日だけ\n公開されてるわけだけど――
Tween	リディ	PunchPosition	y=50			Add
	リディ	驚き2						あ！マスター！次！次マスターだよ！
Tween	ディーア	PunchPosition	y=50			Add
	ディーア	驚き2						…お、おう
	リディ	通常2						何をお祈りするの？
	ディーア	怪しい2						そうだなぁー、\n世界平和と、みんなが幸せで、\nありますように…かな
	リディ	照れ2						うそつきー
	ディーア	あはは2						う、うそじゃないし
	リディ	怒り2						おっぱいの大きな女の子と、\nイチャイチャできますようにー、とか\nそういうのでしょ、きっと
	ディーア	怪しい2						偏見がひどい
	リディ	笑い2						ちっちゃい女の子とー、だったら\nリディは容赦なく通報するから
	ディーア	あはは2						ど、どこに？
	リディ	笑い2						E.D.E.N.
	ディーア	絶望2						魔力災害扱い…
	※※※※	<Off>						《次の魔剣使いの方どうぞ》
	リディ	驚き2						あ、番がきた！
	リディ	笑い2						マスター！がんばって！
	ディーア	通常2						おう！
Tween	リディ	PunchPosition	y=50			Add
	リディ	悔しい2						えっちなお願いしたらダメだよ！
Tween	ディーア	PunchPosition	y=50			Add
	ディーア	あはは2						わ、わかってるって！！
	wipe		wipe_start			0
Tween	wipe	MoveTo	x=-800 islocal=true time=1.2	linear
FadeOut	black					.1
Bg	神殿A
CharacterOff	wipe
	ディーア	怪しい2	2_3
	リディ	通常2	3_3
	魔剣ヴァルハラ	武器	1_3
FadeIn	black					.5
	ディーア							ふぅ……\nそっと、そっと魔剣に触れて……\nお祈り………お祈り………
Bg	神殿A_過去
Bgm	神社
	ディーア	通常2						（とは言ったものの、何をお願い\n　したらいいもんか…）
	ディーア	怪しい2						（世界平和、魔界が魔界らしく…\n　もっと楽しく、もっと元気に）
	ディーア							（リディはなんて言ってたっけ、\n　たしか、おっぱいがどうのって）
	ディーア	通常2						（胸の大きな子とイチャイチャ？\n　たしかにそれは否定しないけども）
	ディーア	怪しい2						（かといって小さいのは悪ではない\n　いや、むしろ善であろう、ふむ）
	ディーア	驚き2						（んんん？何を考えているんだ俺は！\n　しまった！何もお祈りしてない！）
	ディーア	悔しい2						（…だ、だめだ、頭から離れない！\n　忘れろー、忘れろー、忘れろー）
	ディーア	てへぺろ2						（いやもう逆に、そっちを祈ろう！\n　胸の大きさは問わないので！）
	ディーア	にやけ2						（とにかく抜群にかわいい女子と\n　イチャイチャしたりしたいです！）
